"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"DLR PRJ","DLR","","10.5","12/13/2024","","","0.330000","5.25%","25.380000","19.550000","21.370000","1.820000","-4.010000","21.310000","22.230000","0.300000","-3.860000","20.020000","24.630000","19.060000","24.630000","21.000000","21.120000","1.100000","-3.510000","43.499268","42.296781","56.735395","51.225225","-4.260000","1.570000","55.012788","57.836920","-3.510000","2.060000","50.729927","73.046964"
"DLR PRK","DLR","","10.5","12/13/2024","","","0.370000","5.88%","26.400000","22.000000","23.220000","1.220000","-3.180000","23.540000","24.170000","-1.350000","-3.920000","22.100000","25.610000","21.400000","25.610000","21.000000","22.940000","0.840000","-2.670000","53.162518","42.558647","63.883162","39.117117","-3.460000","0.940000","46.828645","63.544734","-2.670000","1.540000","38.467153","77.812142"
"DLR PRL","DLR","","10.5","12/13/2024","","","0.330000","5.20%","25.370000","19.320000","20.560000","1.240000","-4.810000","20.780000","21.890000","-1.050000","-6.070000","19.610000","24.450000","19.010000","24.450000","21.000000","20.310000","0.700000","-4.140000","51.405564","51.942171","67.731959","60.306306","-5.060000","0.990000","63.196931","63.091733","-4.140000","1.300000","59.927007","80.011455"
"DTB","DTE","BB","11.5","12/27/2024","","","0.270000","4.38%","22.290000","17.300000","17.390000","0.090000","-4.900000","18.140000","19.360000","-4.110000","-10.160000","16.980000","21.900000","16.980000","22.860000","35.000000","17.230000","0.250000","-4.670000","69.326501","69.792690","80.103093","67.945946","-5.060000","-0.070000","63.196931","72.695357","-5.630000","0.250000","81.678832","89.633448"
"DTG","DTE","BB","11.5","11/15/2024","","","0.270000","4.38%","20.890000","17.320000","17.330000","0.010000","-3.560000","18.130000","19.430000","-4.390000","-10.800000","16.880000","22.050000","16.880000","22.250000","83.000000","17.310000","0.430000","-4.740000","70.966325","72.585925","75.154639","68.954955","-3.580000","-0.010000","48.056266","72.151755","-4.940000","0.430000","71.605839","87.983963"
"DTW","DTE","BB","11.5","11/15/2024","12/1/2022","","0.330000","5.25%","25.420000","20.880000","21.370000","0.480000","-4.060000","22.010000","23.020000","-2.970000","-7.220000","20.550000","25.110000","20.420000","25.170000","83.000000","21.330000","0.780000","-3.780000","62.650073","56.961266","65.532646","55.117117","-4.090000","0.450000","53.273657","67.984145","-3.840000","0.910000","55.547445","83.585338"
"DUK PRA","DUK","","11","11/15/2024","","","0.360000","5.75%","26.490000","22.910000","24.780000","1.870000","-1.710000","24.900000","25.000000","-0.460000","-0.860000","24.060000","25.660000","22.710000","25.730000","83.000000","24.750000","0.690000","-0.910000","47.950220","29.203492","68.006873","13.747748","-1.740000","1.840000","29.232737","55.390713","-0.980000","2.040000","13.795620","73.230241"
"DUKB","DUK","BB","12","12/13/2024","","","0.350000","5.63%","26.080000","21.930000","24.920000","2.990000","-1.160000","24.510000","24.690000","1.660000","0.930000","23.300000","25.470000","21.800000","25.590000","21.000000","24.650000","1.350000","-0.820000","35.534407","21.391162","49.862543","12.450450","-1.430000","2.720000","26.061381","47.417894","-0.940000","2.850000","13.211679","65.807560"
"ECF PRA","ECF","","16","12/16/2024","","","0.330000","5.25%","24.840000","21.830000","21.570000","-0.260000","-3.270000","22.050000","22.520000","-2.170000","-4.220000","20.210000","24.430000","20.210000","24.430000","24.000000","21.330000","1.120000","-3.100000","57.964861","43.867976","56.185567","45.315315","-3.510000","-0.500000","47.340153","76.591166","-3.100000","1.120000","44.744526","81.660939"
"EFSCP","EFSC","","NR","11/27/2024","","","0.310000","5.00%","21.750000","15.400000","19.110000","3.750000","-2.600000","18.960000","19.630000","0.980000","-2.440000","17.200000","22.220000","13.680000","22.220000","5.000000","18.860000","1.660000","-3.360000","39.516837","36.099291","41.340206","49.063063","-2.890000","3.460000","40.997442","40.713477","-3.360000","5.180000","48.540146","44.455899"
"ELC","ETR","BB","15","11/29/2024","","","0.300000","4.88%","25.300000","20.020000","20.500000","0.480000","-4.800000","20.930000","21.740000","-2.050000","-5.720000","19.930000","23.430000","19.860000","23.590000","7.000000","20.220000","0.290000","-3.210000","57.262079","50.414621","79.003436","46.900901","-5.080000","0.200000","63.401535","70.249151","-3.370000","0.360000","48.686131","88.625430"
"EMP","ETR","BB","14.5","12/27/2024","","","0.310000","4.90%","25.300000","20.070000","20.570000","0.500000","-4.730000","21.010000","21.970000","-2.110000","-6.380000","20.010000","23.610000","19.900000","24.230000","35.000000","20.380000","0.370000","-3.230000","57.613470","53.295145","76.804124","47.189189","-4.920000","0.310000","61.764706","69.252548","-3.850000","0.480000","55.693431","87.525773"
"ENJ","ETR","BB","14.5","11/29/2024","12/1/2017","","0.310000","5.00%","24.790000","19.490000","20.520000","1.030000","-4.270000","21.020000","21.800000","-2.390000","-5.870000","20.020000","24.590000","19.310000","24.590000","7.000000","20.230000","0.210000","-4.360000","59.253294","51.069285","81.202749","63.477477","-4.560000","0.740000","58.081841","65.356738","-4.360000","0.920000","63.138686","83.493700"
"ENO","ETR","BB","13","12/27/2024","","","0.340000","5.50%","25.400000","20.750000","22.270000","1.520000","-3.130000","22.210000","23.140000","0.290000","-3.740000","21.210000","25.320000","20.500000","25.320000","35.000000","22.060000","0.850000","-3.260000","43.557833","41.773050","63.608247","47.621622","-3.340000","1.310000","45.601023","60.192525","-3.260000","1.560000","47.080292","77.628866"
"EQH PRA","EQH","","10.5","11/29/2024","","","0.330000","5.25%","23.770000","17.790000","20.130000","2.340000","-3.640000","20.770000","21.790000","-3.100000","-7.640000","18.410000","23.890000","17.260000","23.890000","7.000000","19.830000","1.420000","-4.060000","63.411420","58.794326","47.938144","59.153153","-3.940000","2.040000","51.739130","53.578709","-4.060000","2.570000","58.759124","68.373425"
"EQH PRC","EQH","","10.5","11/29/2024","","","0.270000","4.30%","21.080000","13.950000","16.500000","2.550000","-4.580000","17.410000","18.300000","-5.230000","-9.830000","15.830000","20.690000","13.350000","20.690000","7.000000","16.250000","0.420000","-4.440000","75.885798","68.352428","75.429553","64.630631","-4.830000","2.300000","60.843990","51.223103","-4.440000","2.900000","64.306569","65.349370"
"ETI PR","ETR","","10","12/30/2024","","","0.340000","5.38%","25.500000","21.750000","22.920000","1.170000","-2.580000","23.760000","23.750000","-3.550000","-3.500000","22.710000","25.230000","21.390000","25.430000","38.000000","22.720000","0.010000","-2.510000","66.046852","40.725586","86.701031","36.810811","-2.780000","0.970000","39.872123","63.272933","-2.710000","1.330000","39.051095","79.736541"
"F PRB","F","BB","9.5","11/12/2024","6/1/2024","","0.390000","6.20%","26.790000","20.830000","20.440000","-0.390000","-6.350000","22.120000","23.590000","-7.580000","-13.350000","19.900000","25.390000","19.900000","25.640000","80.000000","20.400000","0.500000","-4.990000","89.648609","83.715221","73.230241","72.558559","-6.390000","-0.430000","76.803069","75.956965","-5.240000","0.500000","75.985401","87.342497"
"F PRC","F","BB","9","11/12/2024","12/1/2024","","0.380000","6.00%","25.990000","20.490000","20.250000","-0.240000","-5.740000","21.560000","23.200000","-6.080000","-12.730000","19.200000","25.350000","19.200000","25.380000","80.000000","20.210000","1.010000","-5.140000","80.863836","81.009274","59.209622","74.720721","-5.780000","-0.280000","70.562660","74.597961","-5.170000","1.010000","74.963504","82.668958"
"FBRT PRE","FBRT","","NR","12/27/2024","","","0.470000","7.50%","21.680000","18.200000","20.420000","2.220000","-1.260000","20.800000","21.450000","-1.830000","-4.810000","19.050000","23.650000","18.030000","23.650000","35.000000","20.130000","1.080000","-3.520000","55.973646","46.442990","57.285223","51.369369","-1.550000","1.930000","27.289003","54.575311","-3.520000","2.100000","50.875912","72.680412"
"FCNCO","FCNCA","","9.5","11/27/2024","","","0.350000","5.63%","24.080000","19.400000","22.710000","3.340000","-1.340000","22.440000","22.940000","1.340000","-0.880000","20.570000","24.830000","18.910000","24.830000","5.000000","22.410000","1.840000","-2.420000","37.408492","29.290780","36.391753","35.513514","-1.670000","3.010000","28.516624","44.790487","-2.420000","3.500000","34.817518","59.851088"
"FCNCP","FCNCA","","9.5","11/27/2024","","","0.340000","5.38%","23.660000","18.850000","21.200000","2.390000","-2.420000","21.720000","22.360000","-2.220000","-5.030000","19.300000","24.420000","18.690000","24.420000","5.000000","20.920000","1.620000","-3.500000","58.257687","47.403164","42.439863","51.081081","-2.740000","2.070000","39.462916","53.306908","-3.500000","2.230000","50.583942","71.489118"
"FHN PRF","FHN","","8.5","12/20/2024","","","0.290000","4.70%","","","17.700000","","","17.770000","18.370000","-0.390000","-3.640000","16.410000","21.480000","13.130000","21.480000","28.000000","17.500000","1.090000","-3.980000","47.540264","41.336607","57.010309","58.000000","","","","","-3.980000","4.370000","57.591241","51.878580"
"FITBO","FITB","","10.5","12/26/2024","","","0.310000","4.95%","25.790000","17.930000","21.610000","3.680000","-4.180000","21.800000","21.830000","-0.890000","-1.010000","19.520000","24.150000","17.580000","24.150000","34.000000","21.420000","1.900000","-2.730000","50.468521","29.858156","34.742268","39.981982","-4.370000","3.490000","56.138107","40.441676","-2.730000","3.840000","39.343066","56.735395"
"FITBP","FITB","","NR","12/26/2024","","","0.380000","6.00%","25.600000","22.130000","24.400000","2.370000","-1.100000","24.540000","24.420000","-0.170000","0.320000","23.040000","25.900000","21.010000","25.900000","34.000000","24.260000","1.220000","-1.640000","46.251830","24.053464","53.436426","24.270270","-1.340000","2.130000","25.140665","52.763307","-1.640000","3.250000","23.430657","62.142039"
"FRT PRC","FRT","","12.5","1/2/2025","","","0.310000","5.00%","25.750000","19.640000","20.320000","0.680000","-5.430000","20.920000","21.450000","-2.880000","-5.280000","19.410000","23.270000","18.570000","23.900000","41.000000","20.150000","0.740000","-3.120000","62.122987","48.494272","66.632302","45.603604","-5.600000","0.510000","68.721228","67.440544","-3.750000","1.580000","54.233577","77.445590"
"FULTP","FULT","","11","12/2/2024","","","0.320000","5.13%","23.100000","15.090000","18.900000","3.850000","-4.160000","19.520000","19.310000","-2.970000","-1.900000","17.250000","21.220000","14.560000","21.220000","10.000000","18.660000","1.410000","-2.560000","62.650073","33.742499","48.213058","37.531532","-4.440000","3.570000","56.854220","39.716874","-2.560000","4.100000","36.861314","54.352806"
"GAB PRG","GAB","","16","12/16/2024","","","0.310000","5.00%","24.500000","21.000000","21.050000","0.050000","-3.450000","21.240000","21.860000","-0.880000","-3.700000","20.170000","24.200000","20.170000","24.200000","24.000000","20.820000","0.650000","-3.380000","50.409956","41.598472","69.106529","49.351351","-3.680000","-0.180000","49.079284","73.691959","-3.380000","0.650000","48.832117","85.967927"
"GAB PRH","GAB","","16","12/16/2024","","","0.310000","5.00%","23.890000","20.980000","21.020000","0.040000","-2.870000","21.250000","21.900000","-1.090000","-4.020000","20.400000","24.240000","20.400000","24.240000","24.000000","20.790000","0.390000","-3.450000","51.639824","42.995090","76.254296","50.360360","-3.100000","-0.190000","43.145780","73.782559","-3.450000","0.390000","49.854015","88.350515"
"GAB PRK","GAB","","16","12/16/2024","","","0.310000","5.00%","24.400000","21.230000","21.170000","-0.070000","-3.240000","21.280000","21.910000","-0.590000","-3.440000","20.500000","24.250000","20.500000","24.250000","24.000000","20.930000","0.430000","-3.320000","48.711567","40.463721","75.154639","48.486486","-3.470000","-0.300000","46.930946","74.779162","-3.320000","0.430000","47.956204","87.983963"
"GDV PRH","GDV","","17","12/16/2024","","","0.340000","5.38%","25.850000","22.550000","23.080000","0.530000","-2.770000","23.370000","23.710000","-1.250000","-2.640000","22.510000","25.340000","22.000000","25.340000","24.000000","22.830000","0.320000","-2.510000","52.576867","36.972177","78.178694","36.810811","-3.020000","0.280000","42.327366","69.524349","-2.510000","0.830000","36.131387","84.318442"
"GDV PRK","GDV","","17","12/13/2024","","","0.270000","4.25%","20.820000","17.650000","18.410000","0.760000","-2.410000","18.690000","19.150000","-1.500000","-3.860000","17.970000","21.490000","16.960000","21.490000","21.000000","18.200000","0.230000","-3.290000","54.040996","42.296781","80.652921","48.054054","-2.620000","0.550000","38.235294","67.078143","-3.290000","1.240000","47.518248","80.561283"
"GGN PRB","GGN","","15","12/16/2024","5/7/2018","","0.310000","5.00%","23.670000","21.380000","20.740000","-0.640000","-2.930000","20.840000","21.450000","-0.490000","-3.300000","19.840000","24.150000","19.840000","24.150000","24.000000","20.510000","0.670000","-3.640000","48.125915","39.852700","68.556701","53.099099","-3.160000","-0.870000","43.759591","79.943375","-3.640000","0.670000","52.627737","85.784651"
"GGT PRE","GGT","","15","12/16/2024","","","0.320000","5.13%","24.850000","22.980000","22.680000","-0.300000","-2.170000","22.900000","22.970000","-0.970000","-1.250000","22.500000","24.700000","21.410000","24.700000","24.000000","22.450000","-0.050000","-2.250000","50.937042","30.905619","88.350515","33.063063","-2.400000","-0.530000","35.984655","76.862967","-2.250000","1.040000","32.335766","82.394044"
"GGT PRG","GGT","","15","12/16/2024","12/20/2024","","0.320000","5.13%","24.590000","22.950000","22.800000","-0.150000","-1.790000","22.780000","22.940000","0.100000","-0.600000","22.320000","24.470000","21.870000","24.470000","24.000000","22.570000","0.250000","-1.900000","44.670571","28.068740","80.103093","28.018018","-2.020000","-0.380000","32.097187","75.503964","-1.900000","0.700000","27.226277","85.509737"
"GNT PRA","GNT","","15","11/15/2024","","","0.330000","5.20%","24.550000","21.530000","21.520000","-0.010000","-3.030000","21.740000","22.220000","-1.030000","-3.170000","21.330000","24.300000","21.170000","24.300000","83.000000","21.490000","0.160000","-2.810000","51.288433","39.285325","82.577320","41.135135","-3.060000","-0.040000","42.736573","72.423556","-2.810000","0.320000","40.510949","88.991982"
"GPJA","SO","BB","11.5","12/27/2024","","","0.310000","5.00%","25.620000","20.820000","","1.720000","-3.080000","22.530000","23.500000","0.030000","-4.070000","21.000000","25.410000","20.580000","25.660000","35.000000","22.350000","1.350000","-3.060000","45.080527","43.213312","49.862543","44.738739","-3.270000","1.530000","44.884910","58.199320","-3.310000","1.770000","47.810219","75.704467"
"GRBK PRA","GRBK","","NR","11/25/2024","","","0.360000","5.75%","22.080000","17.930000","","4.070000","-0.080000","22.960000","23.060000","-4.170000","-4.610000","21.060000","25.000000","17.150000","25.000000","3.000000","21.650000","0.590000","-3.350000","69.677892","45.570104","70.756014","48.918919","-0.430000","3.720000","15.831202","38.357871","-3.350000","4.500000","48.394161","50.687285"
"GUT PRC","GUT","","16","12/16/2024","","","0.340000","5.38%","25.390000","23.020000","","0.270000","-2.100000","24.260000","24.320000","-4.010000","-4.240000","23.150000","25.220000","22.330000","25.560000","24.000000","23.040000","-0.110000","-2.180000","68.740849","43.955265","90.000000","32.054054","-2.350000","0.020000","35.473146","71.879955","-2.520000","0.710000","36.277372","85.418099"
"HBANM","HBAN","","9","11/15/2024","12/1/2022","","0.360000","5.70%","25.470000","17.800000","","4.680000","-2.990000","22.770000","23.030000","-1.290000","-2.410000","21.450000","25.390000","17.680000","25.390000","83.000000","22.450000","1.000000","-2.940000","52.811127","35.968358","59.484536","43.009009","-3.020000","4.650000","42.327366","29.932050","-2.940000","4.770000","42.408759","48.213058"
"HBANP","HBAN","","10","1/2/2025","","","0.280000","4.50%","20.810000","14.070000","17.680000","3.580000","-3.160000","17.790000","18.400000","-0.780000","-4.090000","16.220000","20.740000","13.710000","20.740000","41.000000","17.500000","1.280000","-3.240000","49.824305","43.300600","51.786942","47.333333","-3.310000","3.430000","45.294118","40.985277","-3.240000","3.790000","46.788321","57.193585"
"HFRO PRA","HFRO","","16","12/20/2024","","","0.340000","5.38%","23.450000","17.010000","15.260000","-1.750000","-8.190000","16.110000","17.910000","-5.280000","-14.790000","14.500000","21.090000","14.500000","21.090000","28.000000","15.030000","0.530000","-6.060000","76.178624","90.000000","72.405498","87.981982","-8.420000","-1.980000","","90.000000","-6.060000","0.530000","87.956204","87.067583"
"HIG PRG","HIG","","11","11/1/2024","11/15/2023","","0.380000","6.00%","26.600000","22.890000","24.970000","2.080000","-1.630000","24.990000","25.050000","-0.090000","-0.300000","23.990000","25.530000","22.760000","25.600000","69.000000","24.880000","0.890000","-0.650000","45.783309","26.759411","62.508591","10.000000","-1.720000","1.990000","29.028133","54.031710","-0.720000","2.120000","10.000000","72.497136"
"HWCPZ","HWC","BB","11","11/27/2024","6/15/2025","","0.390000","6.25%","26.560000","22.450000","24.110000","1.830000","-2.280000","23.790000","24.030000","2.050000","1.030000","22.210000","26.190000","19.750000","26.190000","5.000000","23.910000","1.700000","-2.280000","33.250366","20.954719","40.240550","33.495495","-2.650000","1.460000","38.542199","58.833522","-2.280000","4.160000","32.773723","53.802978"
"INN PRE","INN","","NR","11/13/2024","11/13/2022","","0.390000","6.25%","21.220000","18.140000","19.000000","0.860000","-2.220000","19.870000","20.590000","-4.390000","-7.710000","17.300000","21.770000","17.030000","22.480000","81.000000","18.960000","1.660000","-2.810000","70.966325","59.099836","41.340206","41.135135","-2.260000","0.820000","34.552430","64.631937","-3.520000","1.930000","50.875912","74.238259"
"INN PRF","INN","","NR","11/13/2024","8/12/2026","","0.370000","5.88%","21.020000","18.070000","19.030000","0.960000","-1.990000","19.010000","20.070000","0.130000","-5.180000","17.030000","22.000000","16.070000","22.000000","81.000000","18.990000","1.960000","-3.010000","44.494876","48.057829","33.092784","44.018018","-2.030000","0.920000","32.199488","63.725934","-3.010000","2.920000","43.430657","65.166094"
"JPM PRC","JPM","","11.5","10/29/2024","3/1/2024","","0.380000","6.00%","26.100000","24.110000","25.070000","0.960000","-1.030000","25.210000","25.270000","-0.560000","-0.790000","24.740000","25.820000","23.870000","25.820000","66.000000","24.970000","0.230000","-0.850000","48.535871","28.897981","80.652921","12.882883","-1.130000","0.860000","22.992327","64.269536","-0.850000","1.100000","11.897810","81.844215"
"JPM PRD","JPM","","11.5","10/29/2024","12/1/2023","","0.360000","5.75%","25.750000","23.300000","24.350000","1.050000","-1.400000","24.800000","24.970000","-1.800000","-2.490000","24.020000","25.670000","22.830000","25.670000","66.000000","24.250000","0.230000","-1.420000","55.797950","36.317512","80.652921","21.099099","-1.500000","0.950000","26.777494","63.454134","-1.420000","1.420000","20.218978","78.911798"
"JPM PRJ","JPM","","11.5","10/29/2024","","","0.300000","4.75%","23.740000","19.380000","19.890000","0.510000","-3.850000","20.700000","21.650000","-3.930000","-8.130000","19.650000","24.850000","19.020000","24.850000","66.000000","19.810000","0.160000","-5.040000","68.272328","60.932897","82.577320","73.279279","-3.930000","0.430000","51.636829","68.165345","-5.040000","0.790000","73.065693","84.684994"
"JPM PRK","JPM","","11.5","10/29/2024","","","0.280000","4.55%","21.650000","18.670000","18.920000","0.240000","-2.740000","19.810000","20.680000","-4.530000","-8.570000","18.660000","23.040000","18.320000","23.040000","66.000000","18.840000","0.180000","-4.200000","71.786237","62.853246","82.027491","61.171171","-2.810000","0.170000","40.179028","70.520951","-4.200000","0.520000","60.802920","87.159221"
"JPM PRL","JPM","","11.5","10/29/2024","","","0.290000","4.63%","21.620000","18.940000","19.350000","0.410000","-2.270000","20.110000","21.040000","-3.800000","-8.030000","19.070000","23.440000","18.710000","23.440000","66.000000","19.270000","0.200000","-4.170000","67.510981","60.496454","81.477663","60.738739","-2.350000","0.330000","35.473146","69.071348","-4.170000","0.560000","60.364964","86.792669"
"JPM PRM","JPM","","11.5","10/29/2024","","","0.260000","4.20%","20.700000","17.170000","17.710000","0.540000","-2.990000","18.440000","19.290000","-3.930000","-8.190000","17.440000","21.680000","16.960000","21.680000","66.000000","17.640000","0.200000","-4.040000","68.272328","61.194763","81.477663","58.864865","-3.060000","0.470000","42.736573","67.802945","-4.040000","0.680000","58.467153","85.693013"
"JSM","NAVI","BB","7.5","12/13/2024","","","0.380000","6.00%","23.500000","16.700000","18.450000","1.790000","-5.010000","18.570000","19.350000","-0.450000","-4.430000","16.510000","21.290000","16.060000","21.820000","21.000000","18.200000","1.690000","-3.090000","47.891654","44.784506","40.515464","45.171171","-5.300000","1.500000","65.652174","58.471121","-3.620000","2.140000","52.335766","72.313860"
"KEY PRJ","KEY","","10.5","11/27/2024","","","0.350000","5.65%","25.360000","16.170000","21.420000","5.240000","-3.950000","21.630000","21.860000","-1.040000","-2.050000","19.970000","24.180000","15.190000","24.180000","5.000000","21.080000","1.110000","-3.100000","51.346999","34.397163","56.460481","45.315315","-4.280000","4.910000","55.217391","27.576444","-3.100000","5.890000","44.744526","37.949599"
"KEY PRK","KEY","","10.5","11/27/2024","","","0.350000","5.63%","26.170000","16.050000","21.070000","5.020000","-5.100000","21.540000","21.870000","-2.170000","-3.680000","19.760000","24.430000","14.990000","24.430000","5.000000","20.740000","0.980000","-3.690000","57.964861","41.511184","60.034364","53.819820","-5.430000","4.690000","66.982097","29.569649","-3.690000","5.750000","53.357664","39.232532"
"KIM PRL","KIM","","11.5","12/27/2024","","","0.320000","5.13%","25.420000","19.200000","19.880000","0.680000","-5.540000","20.620000","21.530000","-3.600000","-7.680000","19.390000","24.180000","18.810000","24.180000","35.000000","19.680000","0.290000","-4.500000","66.339678","58.968903","79.003436","65.495495","-5.740000","0.480000","70.153453","67.712344","-4.500000","0.870000","65.182482","83.951890"
"KIM PRM","KIM","","11.5","12/27/2024","","","0.330000","5.25%","25.400000","19.830000","20.320000","0.490000","-5.080000","21.100000","22.080000","-3.680000","-7.990000","19.710000","25.160000","19.710000","25.160000","35.000000","20.120000","0.410000","-5.040000","66.808199","60.321877","75.704467","73.279279","-5.280000","0.290000","65.447570","69.433749","-5.040000","0.410000","73.065693","88.167239"
"KREF PRA","KREF","","NR","11/27/2024","4/16/2026","","0.410000","6.50%","23.370000","16.180000","19.600000","3.420000","-3.770000","19.400000","19.870000","1.050000","-1.340000","17.980000","23.660000","15.810000","23.660000","5.000000","19.210000","1.230000","-4.450000","39.106881","31.298418","53.161512","64.774775","-4.160000","3.030000","53.989770","44.609287","-4.450000","3.400000","64.452555","60.767468"
"MBINN","MBIN","","NR","12/13/2024","","","0.380000","6.00%","24.230000","16.500000","19.860000","3.360000","-4.370000","20.870000","21.430000","-4.850000","-7.320000","18.310000","24.340000","16.310000","24.340000","21.000000","19.570000","1.260000","-4.770000","73.660322","57.397709","52.336770","69.387387","-4.660000","3.070000","59.104859","44.246886","-4.770000","3.260000","69.124088","62.050401"
"MET PRE","MET","","12","11/27/2024","","","0.350000","5.63%","26.500000","21.220000","23.590000","2.370000","-2.910000","23.820000","24.210000","-0.960000","-2.560000","22.660000","25.230000","21.030000","25.230000","5.000000","23.260000","0.600000","-1.970000","50.878477","36.623022","70.481100","29.027027","-3.240000","2.040000","44.578005","53.578709","-1.970000","2.230000","28.248175","71.489118"
"MET PRF","MET","","12","11/27/2024","","","0.300000","4.75%","24.560000","18.500000","19.710000","1.210000","-4.850000","20.290000","20.970000","-2.870000","-6.020000","19.000000","23.210000","18.330000","23.210000","5.000000","19.430000","0.430000","-3.780000","62.064422","51.723950","75.154639","55.117117","-5.130000","0.930000","63.913043","63.635334","-3.780000","1.100000","54.671533","81.844215"
"MFA PRB","MFA","","NR","11/27/2024","4/15/2018","","0.470000","7.50%","21.920000","18.340000","21.510000","3.170000","-0.410000","21.290000","21.540000","1.020000","-0.150000","18.270000","23.670000","17.010000","23.670000","5.000000","21.070000","2.800000","-2.600000","39.282577","26.104746","10.000000","38.108108","-0.850000","2.730000","20.127877","47.327293","-2.600000","4.060000","37.445255","54.719359"
"MGR","AMG","BB","12","12/27/2024","","","0.370000","5.88%","26.290000","19.600000","20.750000","1.150000","-5.540000","21.830000","22.840000","-4.930000","-9.140000","19.910000","25.170000","19.430000","25.170000","35.000000","20.520000","0.610000","-4.650000","74.128843","65.340971","70.206186","67.657658","-5.770000","0.920000","70.460358","63.725934","-4.650000","1.090000","67.372263","81.935853"
"MGRB","AMG","BB","12","12/27/2024","","","0.300000","4.75%","22.010000","16.090000","16.940000","0.850000","-5.070000","17.840000","18.890000","-5.040000","-10.320000","16.130000","21.000000","15.830000","21.000000","35.000000","16.760000","0.630000","-4.240000","74.773060","70.490998","69.656357","61.747748","-5.250000","0.670000","65.140665","65.990940","-4.240000","0.930000","61.386861","83.402062"
"MGRD","AMG","BB","12","12/27/2024","","","0.260000","4.20%","19.500000","15.180000","15.390000","0.210000","-4.110000","15.830000","16.720000","-2.780000","-7.930000","14.620000","18.370000","14.620000","18.370000","35.000000","15.230000","0.610000","-3.140000","61.537335","60.060011","70.206186","45.891892","-4.270000","0.050000","55.115090","71.608154","-3.140000","0.610000","45.328467","86.334479"
"MS PRK","MS","","11","12/27/2024","","","0.370000","5.85%","26.380000","21.400000","23.140000","1.740000","-3.240000","23.980000","24.570000","-3.490000","-5.830000","22.520000","26.000000","21.160000","26.000000","35.000000","22.910000","0.390000","-3.090000","65.695461","50.894708","76.254296","45.171171","-3.470000","1.510000","46.930946","58.380521","-3.090000","1.750000","44.598540","75.887743"
"MS PRL","MS","","11","12/27/2024","","","0.300000","4.88%","24.000000","18.320000","19.680000","1.360000","-4.320000","20.560000","21.980000","-4.270000","-10.480000","19.340000","24.490000","18.150000","24.490000","35.000000","19.500000","0.160000","-4.990000","70.263543","71.189307","82.577320","72.558559","-4.500000","1.180000","57.468031","61.370328","-4.990000","1.350000","72.335766","79.553265"
"MS PRO","MS","","11","12/27/2024","","","0.270000","4.25%","20.770000","15.900000","17.330000","1.430000","-3.440000","18.070000","18.950000","-4.100000","-8.570000","16.820000","21.470000","15.700000","21.470000","35.000000","17.160000","0.340000","-4.310000","69.267936","62.853246","77.628866","62.756757","-3.610000","1.260000","48.363171","60.645527","-4.310000","1.460000","62.408759","78.545246"
"NCV PRA","NCV","","NR","12/5/2024","","","0.350000","5.63%","24.280000","20.920000","22.020000","1.100000","-2.260000","21.760000","22.070000","1.200000","-0.220000","20.720000","23.640000","20.600000","23.640000","13.000000","21.720000","1.000000","-1.920000","38.228404","26.410256","59.484536","28.306306","-2.560000","0.800000","37.621483","64.813137","-1.920000","1.120000","27.518248","81.660939"
"NCZ PRA","NCZ","","NR","12/5/2024","","","0.340000","5.50%","24.280000","20.500000","20.840000","0.340000","-3.440000","20.960000","21.060000","-0.580000","-1.050000","19.920000","22.380000","19.920000","22.380000","13.000000","20.550000","0.630000","-1.830000","48.653001","30.032733","69.656357","27.009009","-3.730000","0.050000","49.590793","71.608154","-1.830000","0.630000","26.204380","86.151203"
"NEE PRN","NEE","BB","12","11/27/2024","","","0.350000","5.65%","26.150000","22.130000","22.760000","0.630000","-3.390000","23.230000","24.210000","-2.020000","-5.980000","22.100000","25.550000","21.920000","25.620000","5.000000","22.430000","0.330000","-3.120000","57.086384","51.549373","77.903780","45.603604","-3.720000","0.300000","49.488491","69.343148","-3.190000","0.510000","46.058394","87.250859"
"NRUC","-","BB","13","11/1/2024","","","0.340000","5.50%","25.220000","21.750000","23.940000","2.190000","-1.280000","23.460000","24.190000","2.030000","-1.020000","22.380000","25.750000","21.640000","25.750000","69.000000","23.860000","1.480000","-1.890000","33.367496","29.901800","46.288660","27.873874","-1.360000","2.110000","25.345269","52.944507","-1.890000","2.220000","27.080292","71.580756"
"NSA PRA","NSA","","NR","12/13/2024","","","0.380000","6.00%","25.300000","20.650000","23.600000","2.950000","-1.700000","22.280000","22.790000","5.940000","3.540000","21.120000","25.200000","20.160000","25.200000","21.000000","23.310000","2.190000","-1.890000","10.468521","10.000000","26.769759","27.873874","-1.990000","2.660000","31.790281","47.961495","-1.890000","3.150000","27.080292","63.058419"
